file,ref_id,tauV_percent_ISO8980,nominal_tauV_percent,tol_percent,delta_percent,within_tol
NDUVW01B_04_20251218_110738_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.942,79.0,5.0,6.942,False
NDUVW01B_04_20260113_123803_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.147,79.0,5.0,7.147,False
NDUVW01B_04_20260113_142225_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.118,79.0,5.0,7.118,False
NDUVW01B_04_20260113_153553_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.091,79.0,5.0,7.091,False
NDUVW01B_05_20251217_113140_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.58,79.0,5.0,6.58,False
NDUVW01B_05_20251217_133146_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.281,79.0,5.0,6.281,False
NDUVW01B_05_20251217_155026_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.448,79.0,5.0,6.448,False
NDUVW01B_05_20251217_164654_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.363,79.0,5.0,6.363,False
NDUVW01B_05_20251217_180059_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.382,79.0,5.0,6.382,False
NDUVW01B_05_20251218_110806_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.973,79.0,5.0,6.973,False
NDUVW01B_05_20260113_123920_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.967,79.0,5.0,6.967,False
NDUVW01B_05_20260113_142250_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.014,79.0,5.0,7.014,False
NDUVW01B_05_20260113_153622_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.112,79.0,5.0,7.112,False
NDUVW10B_01_20251217_120643_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.228,10.0,5.0,0.228,True
NDUVW10B_01_20251217_133801_TOPCON_SOLOS_420001417.xml,NDUVW10B,12.358,10.0,5.0,2.358,True
NDUVW10B_01_20251217_155604_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.232,10.0,5.0,0.232,True
NDUVW10B_01_20251217_165351_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.125,10.0,5.0,0.125,True
NDUVW10B_01_20251217_180752_TOPCON_SOLOS_420001417.xml,NDUVW10B,9.648,10.0,5.0,-0.352,True
NDUVW10B_01_20251218_111440_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.257,10.0,5.0,0.257,True
NDUVW10B_01_20260113_124856_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.246,10.0,5.0,0.246,True
NDUVW10B_01_20260113_142900_TOPCON_SOLOS_420001417.xml,NDUVW10B,9.897,10.0,5.0,-0.103,True
NDUVW10B_01_20260113_154139_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.272,10.0,5.0,0.272,True
NDUVW10B_02_20251217_120726_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.218,10.0,5.0,0.218,True
NDUVW10B_02_20251217_133824_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.248,10.0,5.0,0.248,True
NDUVW10B_02_20251217_155635_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.161,10.0,5.0,0.161,True
